task_id,project_id,story_points,Mathematics.Linear Algebra,Mathematics.Differential Equations,Mathematics.Optimization Technique,Mathematics.Calculus,Mathematics.Combinatorics & Graph,Statistics & Probabilities.Statistics,Statistics & Probabilities.Probability & Sampling,Statistics & Probabilities.Bayessian Method,Statistics & Probabilities.Hypothesis Testing,Statistics & Probabilities.A/B Testing,Statistics & Probabilities.CUPED,Data Structures & Algorithms.Complexity Analysis,Data Structures & Algorithms.Programming,Data Structures & Algorithms.Data Structures,Data Structures & Algorithms.Algorithms,Data Structures & Algorithms.Advanced Algorithms,Data Structures & Algorithms.SQL,Data Structures & Algorithms.Shell / Bash Scripting,"Econometrics, Data Analysis, and Data Visualization.Data Preprocessing & EDA","Econometrics, Data Analysis, and Data Visualization.Data Viz & Storytelling","Econometrics, Data Analysis, and Data Visualization.Econometrics","Econometrics, Data Analysis, and Data Visualization.Regression Analysis","Econometrics, Data Analysis, and Data Visualization.Time Series Analysis","Econometrics, Data Analysis, and Data Visualization.Correlation Analysis","Econometrics, Data Analysis, and Data Visualization.Causal Analysis","Econometrics, Data Analysis, and Data Visualization.Dimensional Reduction (PCA)",Machine Learning.Supervised ML,Machine Learning.Unsupervised ML,Machine Learning.Reinforcemetn Learning,Machine Learning.Feature Engineering,Machine Learning.Ensemble Method,Deep Learning.Neural Network & DL,Deep Learning.NLP,Deep Learning.GAN,Deep Learning.Generative AI,Deep Learning.Computer VIsion,Deep Learning.Audio & Speech Processing,Deep Learning.Transfer Learning,Deep Learning.Sequence Modelling,Deep Learning.Accelerated & Parallel Computing,Deep Learning.Edge Computing,Data & Cloud Engineering.Relational DB,Data & Cloud Engineering.Non Relational DB,Data & Cloud Engineering.Devops & CI/CD,Data & Cloud Engineering.Data Pipeline,Data & Cloud Engineering.Data Collection,Data & Cloud Engineering.Data Wrangling,Data & Cloud Engineering.Batch Processing,Data & Cloud Engineering.Stream Processing,Data & Cloud Engineering.Big Data Tech,Data & Cloud Engineering.Data Warehousing,Data & Cloud Engineering.ORM & REST API,Data & Cloud Engineering.Microservices & Containerization,Data & Cloud Engineering.Cloud Native,Data & Cloud Engineering.Cloud & Serverless Architecture,Data & Cloud Engineering.Data Security & Privacy,Data & Cloud Engineering.Distributed Systems,"Data & Cloud Engineering.Monitoring, Logging, Alerting",MLOPS.ML Lifecycle,MLOPS.ML Model Pipeline,MLOPS.Model Versioning,MLOPS.Automated Testing & Validation,MLOPS.Scalable Model Training,"MLOPS.Model Deployment, Monitoring, Logging",MLOPS.Ethical AI & Bias Mitigation
T175,P5,2,5,3,2,3,4,2,4,1,2,1,3,1,0,4,4,5,0,3,3,1,5,1,0,1,4,4,1,0,1,4,3,5,0,4,5,1,1,3,3,1,2,0,0,1,5,3,3,1,1,2,2,5,0,3,5,2,2,0,1,5,4,4,4,2,4
T176,P3,1,0,4,5,5,2,0,4,4,4,0,3,1,4,3,5,2,3,5,1,2,3,3,0,0,4,5,2,2,0,0,0,5,2,5,0,3,5,3,0,1,0,5,5,3,4,0,2,3,3,2,4,1,4,2,2,3,5,2,4,3,0,0,5,2,1
T177,P2,3,1,3,0,4,4,2,5,5,4,4,4,2,2,0,1,0,0,5,1,1,0,2,4,1,5,5,1,5,0,1,0,0,4,1,2,0,5,3,3,1,3,4,2,1,3,1,1,4,4,0,2,5,2,5,5,1,3,5,0,2,4,0,5,2,5
T178,P5,5,3,2,5,4,1,2,3,2,0,0,5,1,4,3,0,0,5,0,5,1,2,4,1,0,0,1,4,3,4,5,3,1,5,3,3,5,0,0,2,1,1,1,1,4,2,3,0,2,4,4,2,0,0,5,0,2,0,4,4,0,3,2,3,4,5
T179,P1,8,1,5,0,4,3,1,3,5,3,2,1,5,2,0,3,2,2,0,5,1,2,3,1,4,2,1,5,1,4,3,1,2,4,3,5,0,3,3,5,1,2,0,5,5,0,5,5,2,5,2,0,1,2,2,4,3,2,0,3,1,5,4,0,3,5
T180,P3,3,0,2,2,3,3,1,3,0,4,3,3,2,0,4,4,3,0,3,2,2,0,3,2,4,1,3,4,1,3,5,1,3,5,3,2,4,1,5,2,3,1,1,3,3,1,3,5,2,1,5,5,3,0,4,4,3,5,0,1,2,1,5,1,4,3
T181,P5,3,5,5,5,5,2,4,1,0,3,4,2,2,0,2,1,3,4,2,0,5,2,4,3,2,3,4,4,4,5,2,5,4,1,1,3,5,4,1,2,3,4,2,1,5,1,5,0,2,4,4,5,5,2,5,4,0,4,0,0,3,2,4,5,2,1
T182,P3,2,0,0,5,3,3,5,4,2,0,3,5,1,4,4,3,3,2,5,1,3,4,1,4,4,4,3,5,1,0,1,3,3,0,2,0,5,2,0,1,2,4,4,4,1,0,3,4,0,4,3,1,1,0,1,5,2,2,0,4,2,4,0,0,5,0
T183,P5,8,3,1,4,1,3,4,4,3,5,3,2,5,3,4,1,2,0,3,3,5,4,1,3,4,1,1,5,1,4,0,5,0,3,2,0,4,4,4,3,4,0,4,2,3,1,5,5,5,2,4,4,3,0,5,2,2,2,2,2,2,5,0,0,0,5
T184,P4,5,0,0,5,3,5,0,2,0,0,1,3,5,3,4,1,2,4,4,2,0,0,5,1,4,2,4,1,1,4,5,1,4,2,0,2,4,0,1,0,4,3,3,2,1,5,2,1,2,3,2,1,1,5,2,1,0,3,2,3,3,0,5,1,5,2
T185,P4,1,3,4,1,0,4,1,5,0,2,4,4,3,4,3,5,5,3,1,2,3,1,5,2,4,3,1,5,3,3,4,2,5,3,1,4,3,4,0,1,2,0,4,0,5,4,3,0,2,5,3,2,4,2,5,1,4,5,5,2,1,1,2,2,4,1
T186,P4,5,0,1,3,4,2,0,4,2,5,4,4,3,3,4,4,3,5,3,3,1,1,2,0,2,3,4,5,5,3,5,1,5,0,2,0,1,5,4,0,3,2,0,2,5,1,4,2,3,5,4,0,5,0,1,4,0,1,1,0,2,2,0,4,4,1
T187,P5,1,3,5,0,0,3,5,5,4,4,2,4,4,5,0,2,1,2,5,2,2,4,3,0,1,4,1,5,1,2,1,2,2,3,4,2,1,5,2,3,4,2,5,1,0,1,0,3,1,1,3,0,4,0,1,5,3,0,3,0,5,5,5,2,1,0
T188,P3,2,1,4,5,3,2,1,2,1,4,2,3,2,3,0,2,5,0,0,0,3,1,5,1,1,4,0,4,0,3,2,2,0,3,4,2,5,3,4,4,1,4,3,0,3,5,3,3,5,4,0,1,3,3,0,2,1,1,0,5,5,0,4,4,4,1
T189,P1,3,2,5,5,1,1,3,5,0,0,0,0,3,4,4,3,1,5,5,5,0,3,5,3,4,4,2,1,4,5,2,4,0,0,5,5,1,2,0,1,5,3,0,3,1,1,3,2,5,2,4,3,4,3,2,5,2,4,5,2,0,0,4,3,1,1
T190,P4,1,0,0,3,4,4,0,2,3,4,0,4,2,5,0,0,3,0,1,5,2,0,1,4,3,0,3,5,5,0,5,5,4,1,2,2,4,5,0,4,5,4,2,5,2,3,4,1,5,3,0,3,4,4,3,3,3,0,1,5,4,5,5,5,1,0
T191,P3,3,1,0,3,5,4,5,4,1,3,3,1,0,0,5,4,1,3,1,5,2,5,3,2,3,1,0,4,0,0,4,2,3,4,4,2,3,5,5,4,2,5,5,0,3,5,0,0,1,1,3,2,2,1,4,4,3,3,0,3,4,0,4,3,5,5
T192,P3,5,4,4,5,5,4,5,0,4,1,1,5,2,0,5,3,5,1,2,0,3,5,0,3,0,5,2,1,5,2,0,1,0,3,3,0,0,5,4,1,4,2,2,1,1,2,4,5,0,0,1,5,3,4,2,0,1,2,3,1,5,3,2,1,3,5
T193,P5,3,5,0,1,4,1,5,0,3,3,0,4,3,2,0,5,0,5,0,2,1,5,3,1,5,4,0,4,3,4,4,3,3,1,2,3,3,1,0,2,0,3,0,4,1,3,5,3,0,2,0,3,5,2,0,2,5,5,4,5,2,3,3,0,3,5
T194,P5,3,2,4,1,4,2,1,3,1,0,1,3,3,4,3,3,2,5,5,5,1,3,2,1,5,1,2,5,0,1,1,2,4,3,0,1,2,2,0,5,3,4,2,3,4,4,4,4,1,1,1,4,2,0,4,0,5,5,1,3,5,3,4,3,0,5
T195,P1,1,2,1,1,4,3,1,0,2,5,0,0,3,5,2,3,5,2,1,1,1,5,4,3,2,3,0,4,4,0,5,5,2,2,3,2,2,4,1,2,0,4,0,1,2,5,5,5,0,1,1,3,1,4,3,4,4,4,2,4,2,4,5,4,4,1
T196,P4,2,4,2,4,1,4,5,5,2,4,4,4,4,2,2,1,1,0,2,4,1,1,5,2,4,5,2,4,2,5,2,0,3,4,5,0,4,0,2,2,5,4,1,1,4,2,2,1,2,3,1,0,4,5,1,3,3,2,1,0,0,1,0,0,4,5
T197,P3,3,0,5,5,1,0,4,1,2,3,4,0,5,5,3,5,0,1,4,0,5,0,2,0,2,2,1,4,4,1,3,2,4,3,0,1,4,1,3,5,4,4,1,0,0,2,0,3,4,3,0,4,1,3,5,5,4,1,1,3,5,1,0,0,4,4
T198,P5,5,0,1,3,1,5,3,0,0,2,2,2,0,0,1,3,1,2,0,5,2,0,4,4,1,0,3,2,5,5,2,3,2,5,5,1,0,4,3,2,5,0,1,5,5,5,5,5,3,3,4,4,5,2,2,0,2,4,1,4,0,0,0,1,2,5
T199,P4,3,0,3,1,4,5,2,1,5,3,3,1,1,0,2,2,3,3,2,5,5,5,1,5,0,4,4,5,5,3,2,3,1,3,5,5,2,1,1,3,2,4,0,3,1,2,1,5,3,3,2,1,5,5,3,0,1,3,0,5,2,1,5,5,1,3
T200,P2,1,5,2,2,1,1,2,3,0,3,0,5,5,3,0,0,1,0,4,5,5,5,5,3,1,0,4,4,1,3,1,1,4,5,2,3,1,1,4,5,0,0,2,1,4,2,5,5,0,1,2,0,3,2,3,1,1,0,5,2,5,0,2,2,4,2
T201,P2,3,3,3,3,4,1,2,4,2,4,5,4,3,5,5,0,5,4,4,0,1,3,5,1,5,3,1,0,5,3,2,3,3,2,5,1,5,3,4,4,4,2,0,4,3,2,1,3,4,0,0,2,4,2,2,5,0,3,5,2,2,4,2,4,3,0
T202,P3,5,2,4,1,5,1,4,0,5,3,4,3,3,5,1,1,4,1,1,2,1,5,0,0,5,5,2,4,5,3,3,1,2,0,3,1,4,1,3,5,2,0,5,2,1,3,0,2,1,1,5,5,4,0,3,1,3,5,4,0,2,3,0,3,1,0
T203,P3,2,1,3,2,2,1,2,0,3,4,2,5,0,5,5,1,3,0,0,4,5,1,2,5,4,2,3,4,0,5,1,1,4,5,3,0,0,5,3,4,4,1,0,0,0,0,0,5,5,0,3,3,0,0,5,3,0,0,3,3,4,5,2,1,0,5
T204,P1,5,0,4,1,2,1,2,2,0,2,3,2,2,0,3,0,2,1,0,5,5,5,2,2,2,0,1,0,2,0,1,0,2,4,5,0,4,0,3,5,5,4,4,3,1,4,1,4,3,4,4,2,0,5,2,2,0,2,0,0,3,4,3,4,2,5
T205,P2,1,2,5,2,3,0,2,3,1,2,2,3,1,3,2,2,0,5,0,5,3,2,3,2,1,4,3,0,3,3,3,1,3,2,4,3,1,0,5,5,1,0,2,4,2,5,3,2,5,4,5,0,3,4,5,4,5,1,2,2,1,2,3,1,2,4
T206,P1,3,2,1,5,5,4,1,3,0,4,3,1,0,2,4,0,0,0,0,4,5,5,1,4,1,0,2,4,4,3,2,0,4,1,2,1,2,0,2,2,2,1,2,5,3,1,3,4,3,0,1,5,0,2,1,3,2,1,0,4,1,4,5,5,5,4
T207,P5,2,4,4,0,0,1,0,2,5,1,4,3,0,4,1,4,5,1,3,4,0,5,5,5,5,0,1,4,3,2,4,1,4,5,3,0,4,0,2,2,4,0,0,4,1,4,5,3,4,5,5,2,2,1,0,1,1,0,3,0,2,3,5,0,2,5
T208,P3,1,5,4,3,2,3,2,2,3,1,2,3,3,3,4,5,5,4,2,2,2,5,5,3,0,1,4,2,4,1,4,4,2,1,2,3,5,4,1,0,0,0,5,2,1,5,2,4,0,5,1,5,1,4,4,2,5,3,2,5,2,2,4,3,1,4
T209,P5,8,1,4,1,3,4,4,1,3,4,1,5,5,2,5,0,3,1,1,5,5,1,1,1,5,2,1,4,1,1,4,1,3,4,5,1,5,4,0,2,5,5,1,1,3,1,3,2,1,2,5,0,3,2,0,2,1,5,2,4,4,3,5,5,5,1
T210,P1,5,3,3,2,1,5,2,0,0,2,4,5,5,4,0,0,2,5,5,4,0,5,3,0,0,3,4,4,3,5,4,3,1,2,2,5,1,1,2,4,2,3,4,1,2,2,5,0,5,5,4,4,5,0,3,0,0,4,3,3,4,4,5,3,2,0
T211,P5,1,2,0,0,4,2,5,1,1,5,1,1,4,0,4,3,2,2,5,5,4,3,0,1,3,3,2,3,2,5,4,2,4,3,4,1,2,2,4,5,3,4,5,2,4,2,5,5,0,0,2,3,2,1,1,1,0,0,1,0,3,0,4,5,5,3
T212,P4,5,5,2,4,3,2,3,4,3,3,4,2,2,5,0,2,3,0,3,1,5,3,4,3,5,5,4,1,3,2,4,0,2,2,4,0,0,5,2,1,1,0,4,0,0,2,1,1,3,4,1,5,2,4,5,1,5,3,5,2,4,3,2,5,0,1
T213,P2,1,3,5,3,1,2,5,1,1,4,2,1,3,1,3,2,4,2,1,1,5,0,4,2,2,0,5,2,1,4,5,1,2,5,0,5,0,2,2,5,1,4,4,4,0,4,5,4,2,2,2,0,2,3,5,0,3,3,0,3,2,1,1,0,5,4
T214,P3,2,3,3,2,1,5,4,0,1,2,2,3,3,1,2,0,2,2,1,2,5,3,4,1,0,5,0,2,5,4,1,2,5,0,0,3,2,5,4,2,0,1,4,2,0,0,2,3,1,4,1,1,0,2,0,5,3,4,3,5,3,2,0,1,0,2
T215,P4,5,3,2,5,2,5,4,4,5,1,2,0,3,4,5,3,1,4,5,4,5,2,0,2,5,3,4,1,0,4,3,4,1,1,1,4,5,3,4,3,5,0,1,2,0,5,3,0,4,3,2,3,0,4,3,0,2,1,3,1,3,1,2,2,2,0
T216,P2,5,2,5,3,2,0,4,0,5,3,3,0,3,2,2,0,3,1,0,1,4,5,4,1,2,3,5,3,4,3,5,4,1,4,3,1,1,2,2,1,5,1,4,2,1,4,1,4,5,0,4,1,2,5,5,1,2,4,3,0,5,5,4,1,0,5
T217,P4,2,4,3,5,0,0,2,0,2,2,0,5,5,4,3,4,5,2,0,3,4,1,1,4,1,4,3,0,1,0,3,3,5,1,1,4,2,2,1,3,2,4,2,2,4,0,5,2,3,2,0,3,0,1,3,3,2,2,4,3,5,2,0,0,0,2
T218,P5,2,5,4,2,2,4,1,2,3,4,0,1,5,0,2,0,5,1,4,5,5,2,3,4,5,2,1,4,3,3,1,0,0,1,4,1,4,4,5,4,4,3,0,1,4,3,5,4,0,2,0,4,0,1,2,1,1,1,5,1,2,0,1,0,0,4
T219,P3,2,3,5,4,4,1,1,5,5,3,2,2,3,3,2,3,0,0,0,5,4,5,1,0,2,4,3,0,1,0,4,0,5,2,1,5,4,4,3,5,1,4,3,4,3,5,3,1,3,5,4,4,3,1,2,4,0,0,0,3,4,1,2,4,0,0
T220,P2,3,3,2,1,3,3,4,3,4,4,2,5,0,0,0,0,1,0,4,4,4,4,3,3,4,1,3,0,3,1,3,5,5,0,0,2,1,1,4,5,2,2,4,5,3,4,4,0,2,0,1,0,3,3,2,0,2,0,3,5,4,2,2,3,2,2
T221,P5,5,3,0,3,3,5,3,5,5,0,0,5,1,2,2,1,3,4,0,0,5,1,1,2,3,0,3,1,2,2,2,2,2,3,5,3,4,1,4,2,4,5,1,4,1,2,2,4,0,3,0,5,5,2,5,5,1,2,5,5,0,2,4,0,4,0
T222,P1,2,5,5,5,4,0,2,1,2,5,2,3,2,5,5,4,1,5,1,2,5,1,4,4,1,0,4,4,0,4,4,2,0,5,4,3,0,3,5,1,2,3,0,5,2,4,2,4,1,5,0,1,2,3,0,2,1,2,3,5,0,0,4,2,1,4
T223,P2,5,0,4,1,4,2,1,1,3,0,1,0,1,4,1,0,0,4,2,0,4,5,4,2,0,0,0,3,2,4,2,2,1,0,4,1,4,5,5,2,2,3,1,3,5,5,0,0,2,5,1,1,2,4,3,2,0,2,5,1,5,1,0,4,5,2
T224,P2,8,3,1,3,2,5,4,2,2,3,0,2,0,4,0,3,1,3,4,0,1,5,0,1,3,5,0,3,3,0,5,4,2,1,4,2,0,3,5,0,5,5,0,1,5,5,4,5,3,3,2,1,2,3,1,1,4,2,5,0,3,1,1,2,0,5
T225,P4,2,5,2,1,2,1,4,1,1,0,0,1,2,2,4,3,2,2,5,3,1,3,3,3,4,4,5,4,0,1,1,0,1,2,3,5,3,5,4,2,1,4,3,2,2,2,0,1,0,2,2,3,0,3,2,5,0,3,5,5,5,5,0,2,1,1
T226,P1,8,2,2,3,1,5,3,3,0,3,4,0,0,5,1,3,4,1,3,2,5,1,5,5,4,5,3,0,5,0,1,0,4,5,2,4,5,3,4,4,0,3,5,3,0,3,4,0,5,1,1,1,2,5,5,2,3,4,4,0,3,1,4,4,1,0
T227,P3,3,5,4,5,1,5,1,5,3,1,2,5,2,3,4,1,2,3,0,2,2,3,2,0,1,2,2,1,4,3,2,5,4,0,3,3,4,0,5,1,5,2,0,5,5,1,1,5,4,1,4,3,5,5,2,2,5,1,5,2,3,4,0,0,3,3
T228,P3,1,2,4,1,1,5,4,4,4,5,0,0,1,4,0,5,0,5,4,4,3,4,4,5,3,4,1,3,0,1,1,1,1,4,0,1,3,5,4,0,5,3,3,3,5,3,1,3,2,0,0,5,4,2,1,2,4,2,0,5,1,5,1,4,1,4
T229,P2,2,1,0,2,5,2,5,5,0,5,5,2,0,4,0,0,0,1,5,5,0,5,4,5,0,2,0,5,0,3,3,3,2,4,5,2,4,0,2,0,3,0,4,1,0,5,1,5,0,2,2,2,0,5,1,3,3,5,0,4,5,3,1,0,4,4
T230,P1,5,0,4,3,1,5,2,5,1,1,3,4,4,3,4,5,4,4,5,4,0,3,5,3,5,4,1,1,4,4,1,1,1,5,1,5,1,2,5,1,2,5,2,5,3,2,2,0,5,1,5,2,3,5,5,5,5,1,2,3,1,5,3,4,3,3
T231,P4,8,0,4,2,2,1,1,1,3,5,2,3,4,2,3,1,1,4,1,2,2,0,1,3,2,3,2,3,3,0,1,5,0,0,5,1,4,3,1,4,2,5,1,1,4,1,0,1,2,3,4,2,0,0,0,5,1,5,1,5,5,2,2,5,5,5
T232,P3,2,0,2,4,0,5,2,3,1,3,2,3,2,2,1,4,2,4,4,3,3,2,1,3,4,3,2,4,2,4,5,5,4,5,2,3,5,4,5,2,1,1,1,2,5,0,1,1,0,5,1,3,4,5,3,3,4,5,2,1,3,3,1,4,0,2
T233,P1,5,2,4,1,4,5,4,3,4,2,0,2,3,4,1,2,1,3,0,1,5,1,4,0,0,3,0,2,5,1,5,4,2,3,2,2,2,2,3,0,4,3,2,5,0,1,4,4,4,2,5,4,0,2,3,4,3,1,5,2,2,5,5,3,3,5
T234,P5,1,0,3,1,4,0,0,4,2,2,0,2,5,4,0,1,5,2,4,5,3,1,0,2,0,3,1,2,5,4,5,1,4,5,5,2,2,1,0,2,0,2,4,3,3,2,4,4,4,4,1,2,4,4,3,3,0,4,4,1,0,4,2,0,2,4
T235,P2,5,2,3,0,0,3,1,5,5,1,4,0,1,0,5,2,4,0,4,0,1,0,1,3,0,0,5,4,2,1,3,1,1,1,5,5,2,4,0,1,1,4,4,1,1,5,4,2,3,0,2,0,3,2,2,5,1,3,0,3,0,0,4,0,4,3
T236,P5,3,1,5,2,3,3,3,5,3,1,5,0,4,4,3,2,2,3,5,1,1,5,5,4,5,5,2,2,0,4,0,5,2,3,1,1,5,3,3,3,0,0,0,5,2,1,5,5,0,1,4,0,0,0,2,5,0,4,3,0,1,0,3,0,2,2
T237,P3,5,3,2,1,4,1,0,0,4,0,4,0,0,5,4,3,5,1,2,2,4,4,0,1,3,1,2,1,2,5,3,0,2,2,3,3,5,5,0,0,5,3,4,0,4,3,3,2,3,0,2,2,4,2,0,1,0,3,5,1,0,2,1,3,4,3
T238,P1,8,4,1,2,5,3,5,1,1,0,2,0,0,2,4,2,5,1,4,5,3,1,3,3,3,3,2,2,1,5,2,4,3,3,3,4,3,2,4,0,3,1,3,1,0,0,1,0,0,5,4,0,0,0,0,0,3,4,0,3,2,0,1,1,0,3
T239,P1,3,5,5,5,1,1,3,2,5,0,1,4,3,3,0,5,2,1,4,1,4,3,1,3,4,5,5,3,5,3,0,2,1,4,4,5,2,5,4,5,4,2,4,2,0,1,4,4,4,0,0,3,3,3,2,3,0,3,4,4,5,4,0,5,0,5
T240,P4,2,4,5,5,1,5,4,5,3,0,2,4,0,0,5,4,0,3,0,5,3,2,2,0,2,4,5,1,4,0,3,0,2,1,0,4,5,4,2,4,5,3,3,2,1,3,3,3,3,3,5,3,4,2,3,5,0,0,0,3,5,2,0,2,4,0
T241,P5,8,0,0,1,3,1,1,0,5,5,5,4,1,5,2,0,5,0,5,1,0,3,0,5,1,0,3,5,3,3,3,5,5,3,2,2,4,0,5,0,3,2,3,1,3,2,0,5,3,4,1,4,5,3,0,5,4,1,2,5,2,3,2,3,5,2
T242,P5,3,4,4,2,3,2,2,1,3,0,3,3,2,1,2,4,3,0,5,1,1,0,5,3,1,3,3,5,3,5,2,0,0,0,1,2,0,4,0,4,3,4,4,3,1,0,2,3,5,0,1,0,1,5,4,0,3,2,1,5,1,1,5,0,1,1
T243,P5,5,3,4,3,3,3,1,0,3,5,2,3,5,1,4,0,2,4,3,1,0,1,0,1,3,0,1,3,5,0,3,2,5,5,0,1,0,4,2,4,5,0,2,0,3,1,3,5,5,3,0,5,5,1,5,5,1,4,3,3,4,5,0,0,1,3
T244,P1,1,5,5,0,3,3,1,3,2,2,2,0,1,0,5,4,1,3,4,5,5,1,5,3,2,2,1,1,0,0,1,0,2,0,1,1,5,1,0,4,0,1,2,4,3,2,4,4,0,2,4,1,0,5,3,2,1,4,2,4,5,4,3,1,2,1
T245,P3,8,0,0,3,1,2,3,3,0,3,1,2,5,3,4,0,1,1,5,2,5,2,5,3,1,2,4,2,5,1,3,4,4,5,4,0,0,1,5,5,4,0,1,4,2,4,1,2,1,0,1,2,5,5,1,3,3,2,5,4,4,5,3,4,4,3
T246,P3,3,4,1,4,3,3,1,3,3,1,3,2,5,1,3,1,1,2,3,2,0,0,0,2,1,1,2,0,2,3,3,2,0,0,4,3,5,2,0,5,5,2,0,0,2,4,1,0,3,2,0,4,4,2,5,0,1,1,0,5,3,3,0,0,4,0
T247,P4,1,2,4,1,2,2,2,2,4,2,2,3,1,5,2,1,1,4,3,1,1,3,0,2,4,3,3,3,0,5,4,0,4,0,5,2,5,2,1,5,2,4,3,0,4,2,4,1,2,1,5,2,5,3,5,5,0,4,3,2,0,1,4,1,1,1
T248,P1,3,5,4,3,0,3,0,4,2,5,4,1,1,4,2,4,4,3,4,1,2,1,3,4,5,5,3,3,4,5,2,1,4,0,2,0,4,5,3,1,3,1,3,1,3,3,0,0,1,3,0,4,5,5,0,1,5,5,4,2,1,0,0,2,0,1
T249,P2,5,5,3,2,0,3,4,5,1,4,2,1,3,2,3,3,2,2,1,2,3,0,2,1,1,4,4,3,5,5,2,2,4,2,5,1,5,2,4,4,0,2,0,4,3,2,1,1,0,1,3,4,1,2,0,2,4,5,0,3,5,0,1,4,5,4
T250,P1,8,3,3,0,5,1,3,0,2,3,3,3,3,0,4,2,4,2,4,0,2,3,3,4,5,0,2,1,4,3,3,5,1,5,3,3,1,5,0,1,4,5,0,0,4,4,0,3,1,5,0,4,2,2,1,2,3,3,1,2,4,0,4,4,5,3
T251,P1,8,3,3,3,2,3,0,5,5,5,4,4,5,5,5,5,0,2,5,2,0,0,2,1,3,4,0,1,5,2,1,3,5,3,0,4,1,0,0,0,2,0,5,5,4,1,5,1,2,5,0,1,3,3,4,3,4,4,1,3,3,0,4,0,3,5
T252,P1,2,4,3,0,2,5,5,4,2,4,3,3,4,4,2,1,4,5,0,5,4,1,2,2,4,4,2,5,4,4,3,5,4,2,4,1,5,5,3,2,1,3,3,2,5,1,1,4,4,4,3,0,3,0,3,5,2,2,4,5,3,3,2,4,0,4
T253,P4,3,3,3,5,1,0,4,4,0,0,2,3,3,1,1,0,1,5,4,3,4,1,1,0,0,1,1,3,0,1,4,1,4,0,2,2,0,5,1,2,4,3,2,1,4,4,5,3,3,1,4,1,0,3,1,4,1,3,3,2,1,5,2,3,3,4
T254,P4,8,3,2,1,2,2,2,5,2,1,1,3,2,5,1,0,1,3,2,1,2,2,3,1,1,3,2,0,4,5,3,2,5,4,0,3,2,5,1,0,4,2,3,1,1,3,1,3,1,3,2,4,0,3,1,5,0,4,5,3,4,4,0,1,2,2
T255,P3,5,0,1,2,1,5,0,4,5,0,5,1,5,1,5,5,1,1,0,0,2,2,3,2,4,4,5,4,2,2,0,5,0,3,1,1,1,1,1,5,4,0,1,1,0,0,2,3,3,5,4,4,3,2,3,0,0,5,0,1,2,2,4,1,0,0
T256,P2,5,4,2,1,3,4,2,2,3,5,0,3,5,0,5,3,0,3,0,1,1,3,5,3,4,3,5,5,1,5,0,0,4,3,0,1,1,3,0,2,2,2,0,1,0,2,0,0,5,0,3,0,3,0,0,3,3,4,5,3,5,0,0,1,4,0
T257,P1,5,5,4,1,3,5,0,0,1,4,0,2,3,3,0,5,0,5,3,1,4,5,3,4,0,4,4,4,4,5,5,5,1,4,5,4,0,3,3,0,4,0,1,5,3,0,5,1,5,3,5,3,2,3,1,2,2,1,3,2,3,0,5,2,0,2
T258,P1,1,4,0,4,0,4,1,0,2,2,1,3,0,0,0,1,2,3,2,5,5,3,3,5,1,1,4,0,3,3,1,1,3,3,2,2,2,2,5,0,2,0,0,0,2,5,3,5,1,0,0,5,3,0,1,0,4,2,2,2,3,0,5,1,5,2
T259,P2,1,4,3,0,1,5,2,2,0,5,4,3,3,0,5,4,0,5,5,0,3,3,2,0,0,1,4,3,0,4,3,0,4,3,2,4,3,2,4,0,4,4,0,4,0,4,4,4,2,4,0,2,0,3,0,1,5,0,1,1,1,4,1,2,1,1
T260,P2,2,1,3,3,0,0,5,4,0,5,1,5,3,4,1,4,0,5,4,3,2,4,0,1,3,3,4,2,5,2,1,1,2,3,4,4,3,4,2,5,5,2,5,1,3,0,0,4,3,0,3,3,4,5,4,5,3,0,1,4,0,3,5,4,1,0
T261,P4,5,5,0,3,5,5,5,4,1,5,5,3,2,1,5,2,5,3,1,2,0,2,0,4,0,3,4,5,4,5,0,3,3,0,2,5,0,1,3,0,2,5,4,1,1,0,1,4,0,3,3,5,0,5,2,5,1,1,3,2,4,3,2,0,1,2
T262,P4,8,5,3,5,4,4,0,5,3,2,4,5,3,0,3,0,2,5,3,4,4,0,5,4,0,0,4,0,1,1,4,3,3,1,2,0,4,4,5,4,4,4,3,3,5,5,3,2,3,2,4,2,5,3,4,0,0,0,5,2,1,3,3,4,0,1
T263,P3,2,3,5,1,4,1,4,1,5,1,2,2,2,0,4,0,1,0,2,4,0,4,3,3,5,3,0,3,0,0,2,0,4,0,4,1,1,5,2,5,5,5,0,3,2,1,4,1,2,3,2,5,1,1,1,1,5,1,2,4,0,1,3,4,0,3
T264,P3,5,1,2,4,0,3,2,5,5,0,2,5,1,0,1,5,2,4,1,5,5,2,4,5,0,5,0,2,2,3,0,0,4,5,2,5,5,3,3,0,1,0,5,4,3,1,1,5,5,2,3,1,2,3,3,0,0,4,5,4,2,4,0,1,2,5
T265,P2,8,0,2,5,3,2,3,4,0,3,4,4,4,4,1,4,5,4,0,2,3,1,5,5,3,4,4,5,2,2,1,4,3,1,0,5,5,2,0,2,5,0,0,5,4,5,5,5,1,4,2,2,5,5,0,0,4,2,5,5,0,3,0,4,3,4
T266,P1,3,2,5,3,3,0,2,5,4,1,1,1,3,1,3,4,1,0,4,5,1,0,2,0,5,2,4,0,0,3,4,3,2,4,3,5,2,0,3,4,5,3,3,1,4,2,2,3,5,5,2,5,4,1,3,5,2,3,4,1,2,4,5,5,0,3
